"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"122","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1994","Number of jobs","0",75195,NA
"123","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1995","Number of jobs","0",77353,NA
"124","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1996","Number of jobs","0",79382,NA
"125","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1997","Number of jobs","0",79818,NA
"126","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1998","Number of jobs","0",79360,NA
"127","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1999","Number of jobs","0",78769,NA
"128","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","2000","Number of jobs","0",79557,NA
"129","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1969","Number of jobs","0",29328,NA
"130","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1970","Number of jobs","0",29190,NA
"131","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1971","Number of jobs","0",30345,NA
"132","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1972","Number of jobs","0",31600,NA
"133","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1973","Number of jobs","0",33577,NA
"134","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1974","Number of jobs","0",34924,NA
"135","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1975","Number of jobs","0",35650,NA
"136","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1976","Number of jobs","0",37031,NA
"137","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1977","Number of jobs","0",38988,NA
"138","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1978","Number of jobs","0",40485,NA
"139","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1979","Number of jobs","0",41045,NA
"140","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1980","Number of jobs","0",40737,NA
"141","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1981","Number of jobs","0",39457,NA
"142","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1982","Number of jobs","0",37614,NA
"143","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1983","Number of jobs","0",38353,NA
"144","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1984","Number of jobs","0",39132,NA
"145","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1985","Number of jobs","0",39314,NA
"146","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1986","Number of jobs","0",39908,NA
"147","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1987","Number of jobs","0",40842,NA
"148","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1988","Number of jobs","0",42853,NA
"149","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1989","Number of jobs","0",44288,NA
"150","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1990","Number of jobs","0",44792,NA
"151","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1991","Number of jobs","0",44656,NA
"152","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1992","Number of jobs","0",44762,NA
"153","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1993","Number of jobs","0",46076,NA
"154","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1994","Number of jobs","0",48997,NA
"155","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1995","Number of jobs","0",51874,NA
"156","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1996","Number of jobs","0",54263,NA
"157","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1997","Number of jobs","0",55265,NA
"158","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1998","Number of jobs","0",54813,NA
"159","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1999","Number of jobs","0",53186,NA
"160","CAEMP25S-10","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2000","Number of jobs","0",52649,NA
"161","CAEMP25S-10","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1969","Number of jobs","0",332865,NA
"162","CAEMP25S-10","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1970","Number of jobs","0",338712,NA
"163","CAEMP25S-10","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1971","Number of jobs","0",347216,NA
"164","CAEMP25S-10","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1972","Number of jobs","0",350334,NA
