"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"188","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",5159936,NA
"189","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",5150666,NA
"190","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",5223403,NA
"191","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",5214591,NA
"192","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",5164555,NA
"193","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",5174327,NA
"194","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",5186277,NA
"195","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",5248749,NA
"196","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",5299465,NA
"197","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",5410493,NA
"198","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",5448295,NA
"199","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",5569660,NA
"200","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",5309986,NA
"201","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",9749376,NA
"202","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",9944163,NA
"203","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",10065296,NA
"204","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",10188396,NA
"205","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",10259696,NA
"206","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",10790091,NA
"207","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",11053962,NA
"208","CAGDP1-1","11100","Amarillo, TX (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",11145554,NA
